V1 V2
952 HSPA1A APOA1
953 JUN APOA1
954 APOA1 LPL
955 APOA1 ME1
956 MYC APOA1
957 NFKBIA APOA1
958 NOS2 APOA1
959 APOA1 NR0B2
960 APOA1 PPARGC1A
961 APOA1 PRKAR2B
962 TNF APOA1
963 DUSP1 APOA2
964 APOA2 EHHADH
965 APOA2 FABP1
966 HSP90AA1 APOA2
967 HSPA1A APOA2
968 JUN APOA2
969 APOA2 LPL
970 APOA2 ME1
971 MYC APOA2
972 NFKBIA APOA2
973 NOS2 APOA2
974 APOA2 NR0B2
975 APOA2 PPARGC1A
976 APOA2 PRKAR2B
977 TNF APOA2
978 DUSP1 EHHADH
979 DUSP1 FABP1
980 DUSP1 HSP90AA1
981 HSPA1A DUSP1
982 JUN DUSP1
983 DUSP1 LPL
984 DUSP1 ME1
985 MYC DUSP1
986 NOS2 DUSP1
987 DUSP1 NR0B2
988 DUSP1 PPARGC1A
989 DUSP1 PRKAR2B
990 EHHADH FABP1
991 HSP90AA1 EHHADH
992 HSPA1A EHHADH
993 JUN EHHADH
994 EHHADH LPL
995 EHHADH ME1
996 MYC EHHADH
997 NFKBIA EHHADH
998 NOS2 EHHADH
999 EHHADH NR0B2
1000 EHHADH PPARGC1A
1001 EHHADH PRKAR2B
1002 TNF EHHADH
1003 HSP90AA1 FABP1
1004 HSPA1A FABP1
1005 JUN FABP1
1006 FABP1 LPL
1007 FABP1 ME1
1008 MYC FABP1
1009 NFKBIA FABP1
1010 NOS2 FABP1
1011 FABP1 NR0B2
1012 FABP1 PPARGC1A
1013 FABP1 PRKAR2B
1014 TNF FABP1
1015 HSPA1A HSP90AA1
1016 HSP90AA1 LPL
1017 HSP90AA1 ME1
1018 MYC HSP90AA1
1019 NFKBIA HSP90AA1
1020 NOS2 HSP90AA1
1021 HSP90AA1 NR0B2
1022 HSP90AA1 PPARGC1A
1023 HSP90AA1 PRKAR2B
1024 TNF HSP90AA1
1025 HSPA1A JUN
1026 HSPA1A LPL
1027 HSPA1A ME1
1028 HSPA1A MYC
1029 HSPA1A NOS2
1030 HSPA1A NR0B2
1031 HSPA1A PPARGC1A
1032 HSPA1A PRKAR2B
1033 HSPA1A TNF
1034 JUN LPL
1035 JUN ME1
1036 NOS2 JUN
1037 JUN NR0B2
1038 JUN PPARGC1A
1039 JUN PRKAR2B
1040 LPL ME1
1041 MYC LPL
1042 NFKBIA LPL
1043 NOS2 LPL
1044 LPL NR0B2
1045 LPL PPARGC1A
1046 LPL PRKAR2B
1047 TNF LPL
1048 MYC ME1
1049 NFKBIA ME1
1050 NOS2 ME1
1051 ME1 NR0B2
1052 ME1 PPARGC1A
1053 ME1 PRKAR2B
1054 TNF ME1
1055 NFKBIA MYC
1056 NOS2 MYC
1057 MYC NR0B2
1058 MYC PPARGC1A
1059 MYC PRKAR2B
1060 MYC TNF
1061 NFKBIA NOS2
1062 NFKBIA NR0B2
1063 NFKBIA PPARGC1A
1064 NFKBIA PRKAR2B
1065 NOS2 NR0B2
1066 NOS2 PPARGC1A
1067 NOS2 PRKAR2B
1068 NOS2 TNF
1069 NR0B2 PPARGC1A
1070 NR0B2 PRKAR2B
1071 TNF NR0B2
1072 PPARGC1A PRKAR2B
1073 TNF PPARGC1A
1074 TNF PRKAR2B
1075 IRF1 IRF4
1076 IRF1 IRF6
1077 JUN IRF1
1078 IRF4 IRF6
1079 JUN IRF4
1080 JUN IRF6
1081 EGF ZBTB16
1082 ADIPOQ HSD11B1
1083 LPL ADIPOQ
1084 ADIPOQ RETN
1085 TNF ADIPOQ
1086 LPL HSD11B1
1087 HSD11B1 RETN
1088 TNF HSD11B1
1089 LPL RETN
1090 TNF RETN
1091 CD74 HLA-DRA
1092 CD74 HLA-DRB1
1093 CD74 KLK3
1094 HLA-DRA HLA-DRB1
1095 HLA-DRA KLK3
1096 HLA-DRB1 KLK3
