V1 V2
1014 HGF VLDLR
1015 HGF VTN
1016 ITGAM ITGB3
1017 ITGAM KLK4
1018 MMP3 ITGAM
1019 ITGAM PDGFD
1020 ITGAM SERPINE1
1021 ITGAM VLDLR
1022 ITGAM VTN
1023 ITGB2 ITGB3
1024 ITGB2 KLK4
1025 MMP3 ITGB2
1026 ITGB2 PDGFD
1027 ITGB2 SERPINE1
1028 ITGB2 VLDLR
1029 ITGB2 VTN
1030 ITGB3 KLK4
1031 MMP3 ITGB3
1032 MMP9 ITGB3
1033 ITGB3 PDGFD
1034 PLAU ITGB3
1035 PLAUR ITGB3
1036 PLG ITGB3
1037 ITGB3 SERPINE1
1038 ITGB3 VLDLR
1039 ITGB3 VTN
1040 MMP3 KLK4
1041 MMP9 KLK4
1042 KLK4 PDGFD
1043 PLAU KLK4
1044 PLAUR KLK4
1045 PLG KLK4
1046 KLK4 SERPINE1
1047 KLK4 VLDLR
1048 KLK4 VTN
1049 MMP3 MMP9
1050 MMP3 PDGFD
1051 MMP3 PLAU
1052 MMP3 PLAUR
1053 MMP3 SERPINE1
1054 MMP3 VLDLR
1055 MMP3 VTN
1056 MMP9 PDGFD
1057 MMP9 SERPINE1
1058 MMP9 VLDLR
1059 MMP9 VTN
1060 PLAU PDGFD
1061 PLAUR PDGFD
1062 PLG PDGFD
1063 PDGFD SERPINE1
1064 PDGFD VLDLR
1065 PDGFD VTN
1066 PLAU SERPINE1
1067 PLAU VLDLR
1068 PLAU VTN
1069 PLAUR SERPINE1
1070 PLAUR VLDLR
1071 PLAUR VTN
1072 PLG SERPINE1
1073 PLG VLDLR
1074 PLG VTN
1075 SERPINE1 VLDLR
1076 SERPINE1 VTN
1077 VLDLR VTN
1078 CD14 ADAM28
1079 FN1 ADAM28
1080 ADAM28 ITGA4
1081 JAM2 ADAM28
1082 ADAM28 MDK
1083 MYH2 ADAM28
1084 ADAM28 SPP1
1085 ADAM28 THBS1
1086 ADAM28 THBS2
1087 ADAM28 VCAM1
1088 CD14 FN1
1089 CD14 ITGA4
1090 CD14 JAM2
1091 CD14 MDK
1092 CD14 MYH2
1093 CD14 SPP1
1094 CD14 THBS1
1095 CD14 THBS2
1096 CD14 VCAM1
1097 FN1 ITGA4
1098 JAM2 FN1
1099 FN1 MDK
1100 MYH2 FN1
1101 FN1 SPP1
1102 FN1 THBS1
1103 FN1 THBS2
1104 FN1 VCAM1
1105 JAM2 ITGA4
1106 ITGA4 MDK
1107 MYH2 ITGA4
1108 ITGA4 SPP1
1109 ITGA4 THBS1
1110 ITGA4 THBS2
1111 ITGA4 VCAM1
1112 JAM2 MDK
1113 JAM2 SPP1
1114 JAM2 THBS1
1115 JAM2 THBS2
1116 JAM2 VCAM1
1117 MYH2 MDK
1118 MDK SPP1
1119 MDK THBS1
1120 MDK THBS2
1121 MDK VCAM1
1122 MYH2 SPP1
1123 MYH2 THBS1
1124 MYH2 THBS2
1125 MYH2 VCAM1
1126 SPP1 THBS1
1127 SPP1 THBS2
1128 SPP1 VCAM1
1129 THBS1 THBS2
1130 THBS1 VCAM1
1131 THBS2 VCAM1
1132 ADAM12 CSF2RA
1133 ADAM12 F13A1
1134 FN1 ADAM12
1135 ADAM12 KCNJ15
1136 ADAM12 NOS2
1137 SPP1 ADAM12
1138 ADAM12 TGM2
1139 ADAM12 TNC
1140 VCAM1 ADAM12
1141 ADAM12 VEGFA
1142 CSF2RA F13A1
1143 FN1 CSF2RA
1144 CSF2RA KCNJ15
1145 CSF2RA NOS2
1146 SPP1 CSF2RA
1147 CSF2RA TGM2
1148 CSF2RA TNC
1149 VCAM1 CSF2RA
1150 CSF2RA VEGFA
1151 FN1 F13A1
1152 F13A1 KCNJ15
1153 F13A1 NOS2
1154 SPP1 F13A1
1155 F13A1 TGM2
1156 F13A1 TNC
1157 VCAM1 F13A1
1158 F13A1 VEGFA
1159 FN1 KCNJ15
1160 FN1 NOS2
1161 FN1 TGM2
1162 FN1 TNC
1163 FN1 VEGFA
1164 KCNJ15 NOS2
1165 SPP1 KCNJ15
1166 KCNJ15 TGM2
1167 KCNJ15 TNC
1168 VCAM1 KCNJ15
1169 KCNJ15 VEGFA
1170 SPP1 NOS2
1171 NOS2 TGM2
1172 NOS2 TNC
1173 VCAM1 NOS2
1174 NOS2 VEGFA
